,label,path,height,width,x1,y1,x2,y2
0,cycleway,Dataset\0_SV.png,57,62,55,230,117,287
1,pedestrian,Dataset\100_SV.png,56,53,280,122,333,178
2,no_stopping,Dataset\100_SV.png,29,35,149,120,184,149
3,no_stopping,Dataset\101_SV.png,50,55,376,155,431,205
4,no_entry_for_vehicles,Dataset\102_SV.png,21,18,119,153,137,174
5,no_stopping,Dataset\103_SV.png,49,44,555,253,599,302
6,no_stopping,Dataset\104_SV.png,79,83,672,131,755,210
7,other,Dataset\104_SV.png,36,28,218,154,246,190
8,no_stopping,Dataset\105_SV.png,35,31,358,126,389,161
9,stop,Dataset\105_SV.png,19,23,195,133,218,152
10,pedestrian,Dataset\105_SV.png,21,20,229,142,249,163
11,pedestrian,Dataset\106_SV.png,64,57,325,191,382,255
12,no_stopping,Dataset\106_SV.png,64,70,643,165,713,229
13,no_entry_for_vehicles,Dataset\107_SV.png,43,49,421,118,470,161
14,no_stopping,Dataset\108_SV.png,67,76,100,259,176,326
15,no_stopping,Dataset\109_IMG.png,190,164,1598,1411,1762,1601
16,other,Dataset\109_IMG.png,90,132,1614,1585,1746,1675
17,other,Dataset\109_IMG.png,92,172,1596,1183,1768,1275
18,endof_pedestrian_zone,Dataset\10_IMG.png,1774,1347,793,1582,2140,3356
19,speed_limit_zone,Dataset\10_IMG.png,1569,1682,458,78,2140,1647
20,other,Dataset\110_IMG.png,266,383,1436,1673,1819,1939
21,other,Dataset\110_IMG.png,283,509,1358,443,1867,726
22,no_stopping,Dataset\110_IMG.png,544,496,1375,1121,1871,1665
23,no_stopping,Dataset\111_IMG.png,551,572,822,1463,1394,2014
24,no_stopping,Dataset\112_IMG.png,566,566,742,1552,1308,2118
25,no_stopping,Dataset\113_IMG.png,331,303,977,1335,1280,1666
26,endof_pedestrian_zone,Dataset\113_IMG.png,497,383,842,866,1225,1363
27,other,Dataset\113_IMG.png,273,286,329,1014,615,1287
28,no_stopping,Dataset\115_IMG.png,887,869,1322,1745,2191,2632
29,endof_pedestrian_zone,Dataset\115_IMG.png,1279,913,1029,490,1942,1769
30,other,Dataset\116_IMG.png,347,552,1275,1739,1827,2086
31,other,Dataset\117_IMG.png,374,665,1306,1365,1971,1739
32,no_stopping,Dataset\117_IMG.png,779,753,1227,634,1980,1413
33,no_stopping,Dataset\118_IMG.png,483,479,1201,1308,1680,1791
34,other,Dataset\118_IMG.png,252,374,1232,1752,1606,2004
35,other,Dataset\119_IMG.png,435,631,1062,1582,1693,2017
36,other,Dataset\119_IMG.png,522,1795,519,243,2314,765
37,no_stopping,Dataset\119_IMG.png,904,891,967,717,1858,1621
38,endof_pedestrian_zone,Dataset\11_IMG.png,1779,1335,1071,1773,2406,3552
39,speed_limit_zone,Dataset\11_IMG.png,1661,1766,688,217,2454,1878
40,no_entry_for_vehicles,Dataset\120_SV.png,27,23,212,136,235,163
41,other,Dataset\120_SV.png,19,18,215,162,233,181
42,no_stopping,Dataset\121_SV.png,62,87,355,280,442,342
43,no_stopping,Dataset\122_SV.png,66,102,47,129,149,195
44,other,Dataset\122_SV.png,49,75,65,192,140,241
45,parking,Dataset\122_SV.png,32,20,517,180,537,212
46,other,Dataset\123_SV.png,43,64,521,223,585,266
47,other,Dataset\124_SV.png,28,38,163,182,201,210
48,no_stopping,Dataset\124_SV.png,62,44,158,122,202,184
49,no_stopping,Dataset\125_SV.png,29,48,543,205,591,234
50,other,Dataset\126_SV.png,15,32,137,248,169,263
