,Unnamed: 0,label,path,height,width,x1,y1,x2,y2
0,0,other,cropped_ds\cycleway\0.png,57,62,55,230,117,287
1,1,other,cropped_ds\pedestrian\1.png,56,53,280,122,333,178
2,2,no_stopping,cropped_ds\no_stopping\2.png,29,35,149,120,184,149
3,3,no_stopping,cropped_ds\no_stopping\3.png,50,55,376,155,431,205
4,4,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\4.png,21,18,119,153,137,174
5,5,no_stopping,cropped_ds\no_stopping\5.png,49,44,555,253,599,302
6,6,no_stopping,cropped_ds\no_stopping\7.png,79,83,672,131,755,210
7,7,other,cropped_ds\other\8.png,36,28,218,154,246,190
8,8,no_stopping,cropped_ds\no_stopping\9.png,35,31,358,126,389,161
9,9,other,cropped_ds\stop\10.png,19,23,195,133,218,152
10,10,other,cropped_ds\pedestrian\11.png,21,20,229,142,249,163
11,11,other,cropped_ds\pedestrian\12.png,64,57,325,191,382,255
12,12,no_stopping,cropped_ds\no_stopping\13.png,64,70,643,165,713,229
13,13,no_entry_for_vehicles,cropped_ds\no_entry_for_vehicles\14.png,43,49,421,118,470,161
14,14,no_stopping,cropped_ds\no_stopping\16.png,67,76,100,259,176,326
15,15,no_stopping,cropped_ds\no_stopping\17.png,190,164,1598,1411,1762,1601
16,16,other,cropped_ds\other\18.png,90,132,1614,1585,1746,1675
17,17,other,cropped_ds\other\19.png,92,172,1596,1183,1768,1275
18,18,other,cropped_ds\endof_pedestrian_zone\20.png,1774,1347,793,1582,2140,3356
19,19,other,cropped_ds\speed_limit_zone\21.png,1569,1682,458,78,2140,1647
20,20,other,cropped_ds\other\22.png,266,383,1436,1673,1819,1939
21,21,other,cropped_ds\other\23.png,283,509,1358,443,1867,726
22,22,no_stopping,cropped_ds\no_stopping\24.png,544,496,1375,1121,1871,1665
23,23,no_stopping,cropped_ds\no_stopping\25.png,551,572,822,1463,1394,2014
24,24,no_stopping,cropped_ds\no_stopping\26.png,566,566,742,1552,1308,2118
25,25,no_stopping,cropped_ds\no_stopping\27.png,331,303,977,1335,1280,1666
26,26,other,cropped_ds\endof_pedestrian_zone\28.png,497,383,842,866,1225,1363
27,27,other,cropped_ds\other\29.png,273,286,329,1014,615,1287
28,28,no_stopping,cropped_ds\no_stopping\32.png,887,869,1322,1745,2191,2632
